professor;lecture;participants;professional expertise;motivation;clear presentation;overall impression
prof01;lecture075;112;1.72;1.81;2.58;2.62
prof01;lecture076;50;1.57;1.88;2.31;2.3
prof02;lecture077;101;1.23;1.56;1.64;1.78
prof02;lecture078;21;1.2;1.2;1.95;2.16
prof02;lecture079;8;1.25;1.5;2.25;1.5
prof02;lecture080;10;1;1.5;1.5;1.3
prof02;lecture081;11;1.18;1.45;1.36;1.36
prof03;lecture082;22;1.48;1.55;1.95;1.91
prof03;lecture082;41;1.2;1.58;2.05;1.91
prof03;lecture083;33;1.31;1.36;1.63;1.84
prof03;lecture084;119;1.85;2.28;2.43;2.5
prof03;lecture085;78;2.69;2.91;3.47;3.23
prof03;lecture086;23;1.35;1.57;1.78;1.83
prof04;lecture087;12;1.17;1.33;1.67;1.67
prof04;lecture088;8;1.25;1.5;2.13;1.88
prof04;lecture089;16;1.31;1.44;2.25;2.36
prof05;lecture090;48;1.5;1.57;1.73;1.89
prof05;lecture090;22;1.55;1.55;1.71;1.68
prof05;lecture091;18;1.33;1.28;1.59;1.5
prof06;lecture092;169;1.56;1.86;3.2;3.01
prof07;lecture093;21;1.14;1.1;1.67;1.85
prof08;lecture094;68;1.41;1.39;2.08;1.92
prof08;lecture094;50;1.58;1.55;1.88;1.92
prof08;lecture095;38;1.68;1.68;2.11;2.13
prof09;lecture096;10;1.9;2.6;3.1;3
prof10;lecture097;65;1.52;2.11;1.95;2.32
prof10;lecture097;73;1.56;1.85;1.93;1.99
prof10;lecture098;43;2.19;2.38;2.35;2.51
prof10;lecture098;28;1.75;1.93;2.18;2.2
prof11;lecture099;51;1.4;1.66;2.1;2.04
prof11;lecture100;29;1.54;1.55;2.31;2.23
prof12;lecture101;49;1.41;1.59;1.8;1.83
prof13;lecture001;17;1.35;1.2;1.76;1.73
prof13;lecture002;6;1.33;1.5;2;1.6
prof14;lecture003;77;1.17;1.3;1.56;1.82
prof14;lecture004;8;1;1;1.63;1.13
prof14;lecture005;27;1.11;1.26;1.37;1.48
prof14;lecture005;24;1.25;1.25;1.67;1.81
prof14;lecture006;9;1.11;1.56;1.67;1.67
prof14;lecture006;59;1.19;1.41;1.4;1.64
prof14;lecture007;50;1.14;1.5;1.62;1.92
prof14;lecture007;37;1.11;1.31;1.43;1.46
prof15;lecture008;21;1.29;1.52;1.67;1.84
prof15;lecture009;19;1.21;1.63;2;2.59
prof15;lecture010;85;1.44;2.04;2.02;1.99
prof15;lecture011;164;1.39;1.85;1.91;1.96
prof15;lecture012;35;1.26;1.51;1.74;1.77
prof15;lecture013;19;1.21;1.37;1.68;1.94
prof15;lecture014;23;1.43;1.74;2.17;1.95
prof15;lecture014;18;1.11;1.39;1.94;1.69
prof16;lecture015;16;1.31;1.19;1.44;1.29
prof16;lecture016;78;1.67;1.99;2;2.3
prof16;lecture017;20;1.4;1.6;2.37;2.25
prof16;lecture018;13;1.62;2;2.31;2.23
prof16;lecture018;15;1.53;1.87;2.4;2.15
prof16;lecture019;11;1.27;1.64;1.9;1.82
prof16;lecture020;12;1.5;1.92;1.92;1.91
prof17;lecture021;38;1.54;2.03;2.19;2.31
prof17;lecture022;10;1.1;1.4;1.4;1.7
prof17;lecture023;20;1.44;1.74;1.89;2.11
prof17;lecture023;14;1.43;2.14;1.93;2.38
prof17;lecture024;157;2.05;2.51;2.52;2.4
prof17;lecture025;18;1.11;1.67;1.56;1.71
prof18;lecture026;22;1.95;2.48;2.91;2.77
prof18;lecture026;30;2.17;2.76;2.82;3
prof18;lecture027;9;1.22;1.56;1.89;1.89
prof19;lecture028;24;1.38;1.83;2.3;2.29
prof20;lecture029;7;1.14;1.14;1.71;1.33
prof21;lecture030;274;1.91;2.42;2.99;2.84
prof21;lecture030;163;2.08;2.65;3.09;3.11
prof22;lecture031;9;2;2.22;2;2.13
prof23;lecture032;41;1.29;2;1.98;2.13
prof23;lecture033;18;1.39;2;2.24;2.35
prof23;lecture033;10;1.6;1.9;2.5;3
prof23;lecture034;19;2.06;3.11;4.37;4.06
prof24;lecture035;98;1.29;1.93;2.15;2.06
prof24;lecture036;39;1.37;2.08;2.17;2.32
prof25;lecture037;34;2;2.64;2.73;2.52
prof26;lecture038;6;1.17;1;1.83;1.17
prof27;lecture039;7;1.57;1.29;2;1.43
prof28;lecture040;29;1.59;2.34;2.5;2.37
prof28;lecture040;18;1.72;2.11;2.89;2.69
prof29;lecture041;110;1.22;1.51;1.76;1.9
prof29;lecture042;108;1.22;1.5;1.62;1.76
prof30;lecture043;22;1.5;1.82;1.91;1.95
prof31;lecture044;34;1.32;1.82;1.65;1.79
prof31;lecture044;12;1.17;1.67;1.25;1.55
prof31;lecture045;16;1.13;1.56;1.75;1.71
prof32;lecture046;326;1.55;2.04;2.54;2.54
prof33;lecture047;38;1.58;2.13;2.3;2.31
prof33;lecture047;47;2;2.55;2.72;2.93
prof33;lecture048;43;2.02;2.38;2.93;3.26
prof33;lecture049;86;2.29;2.78;2.52;2.83
prof34;lecture050;138;1.64;1.99;2.63;2.6
prof34;lecture051;8;1.5;1.88;2.13;1.63
prof34;lecture052;44;1.34;1.75;2.68;2.51
prof35;lecture053;57;1.83;2.68;2.87;2.67
prof35;lecture054;28;2.14;3.61;3.52;3.46
prof36;lecture055;22;1.45;2.09;2.23;2.32
prof37;lecture056;55;1.33;1.91;2.29;2.31
prof37;lecture057;9;1.33;1.11;1.44;1.89
prof37;lecture057;13;1.67;1.69;2.08;2.46
prof38;lecture058;15;2;2.07;1.85;2.07
prof38;lecture059;23;1.27;2;1.86;1.91
prof39;lecture060;30;1.6;1.6;2.13;2.04
prof39;lecture061;19;1.47;1.58;1.89;2.06
